Shares,CUSIP,Ticker,SecurityName,PeriodOfReport,FilingId
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
50000000,501044101,KR,KROGER CO,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-09-30,c182294b5ef52122b03cc86c8d233a40
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
152572,526057302,LEN/B,LENNAR CORP - B SHS,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
20207680,531229409,LM03,LIBERTY MEDIA COR-SIRIUSXM A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43208291,531229607,LM0B,LIBERTY MEDIA COR-SIRIUSXM C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11132590,531229722,LLYVK,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5051918,531229748,LLYVA,LIBERTY MEDIA CORP-LIBERTY-A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43208291,531229789,LM0C,LIBERTY MEDIA CORP-LIBER-NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
20207680,531229813,LSXMA1*,LIBERTY MEDIA CORP-CL A NEW,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7722451,531229854,FWONKUSD,LIBERTY MEDIA CORP-LIBERTY-C,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
7044909,546347105,LPX,LOUISIANA-PACIFIC CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
158715,570535104,MKL,MARKEL GROUP INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
471661,570535104,MKL,MARKEL GROUP INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
3986648,57636Q104,MA,MASTERCARD INC - A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
578000,609207105,MDLZ,MONDELEZ INTERNATIONAL INC-A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
24669778,615369105,DUT,MOODY'S CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
24669778,615369105,DUT,MOODY'S CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
24669778,615369105,DUT,MOODY'S CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
24669778,615369105,DUT,MOODY'S CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
24669778,615369105,DUT,MOODY'S CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
24669778,615369105,DUT,MOODY'S CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
11112,62944T105,NVR,NVR INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11112,62944T105,NVR,NVR INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11112,62944T105,NVR,NVR INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
11112,62944T105,NVR,NVR INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
11112,62944T105,NVR,NVR INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
11112,62944T105,NVR,NVR INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-09-30,c182294b5ef52122b03cc86c8d233a40
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
224129192,674599105,OXY,OCCIDENTAL PETROLEUM CORP,2023-06-30,c8c53597c58fa2bd65356321c8febff6
315400,742718109,PG,PROCTER & GAMBLE CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
315400,742718109,PG,PROCTER & GAMBLE CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
315400,742718109,PG,PROCTER & GAMBLE CO/THE,2023-06-30,c8c53597c58fa2bd65356321c8febff6
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-09-30,c182294b5ef52122b03cc86c8d233a40
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-09-30,c182294b5ef52122b03cc86c8d233a40
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-09-30,c182294b5ef52122b03cc86c8d233a40
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-06-30,c8c53597c58fa2bd65356321c8febff6
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-06-30,c8c53597c58fa2bd65356321c8febff6
39400,78462F103,SPY,SPDR S&P 500 ETF TRUST,2023-06-30,c8c53597c58fa2bd65356321c8febff6
9683224,82968B103,SIRIEUR,SIRIUS XM HOLDINGS INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
9683224,82968B103,SIRIEUR,SIRIUS XM HOLDINGS INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
9683224,82968B103,SIRIEUR,SIRIUS XM HOLDINGS INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-09-30,c182294b5ef52122b03cc86c8d233a40
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
6125376,833445109,SNOW,SNOWFLAKE INC-CLASS A,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5242000,872590104,TMUS,T-MOBILE US INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5242000,872590104,TMUS,T-MOBILE US INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5242000,872590104,TMUS,T-MOBILE US INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
5242000,872590104,TMUS,T-MOBILE US INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5242000,872590104,TMUS,T-MOBILE US INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
5242000,872590104,TMUS,T-MOBILE US INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
59400,911312106,UPS,UNITED PARCEL SERVICE-CL B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
59400,911312106,UPS,UNITED PARCEL SERVICE-CL B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
59400,911312106,UPS,UNITED PARCEL SERVICE-CL B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-09-30,c182294b5ef52122b03cc86c8d233a40
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-06-30,c8c53597c58fa2bd65356321c8febff6
43000,922908363,VOO,VANGUARD S&P 500 ETF,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12815613,92343E102,VRSN,VERISIGN INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12815613,92343E102,VRSN,VERISIGN INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12815613,92343E102,VRSN,VERISIGN INC,2023-09-30,c182294b5ef52122b03cc86c8d233a40
12815613,92343E102,VRSN,VERISIGN INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12815613,92343E102,VRSN,VERISIGN INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
12815613,92343E102,VRSN,VERISIGN INC,2023-06-30,c8c53597c58fa2bd65356321c8febff6
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-09-30,c182294b5ef52122b03cc86c8d233a40
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-09-30,c182294b5ef52122b03cc86c8d233a40
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-09-30,c182294b5ef52122b03cc86c8d233a40
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
93730975,92556H206,PARA,PARAMOUNT GLOBAL-CLASS B,2023-06-30,c8c53597c58fa2bd65356321c8febff6
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-09-30,c182294b5ef52122b03cc86c8d233a40
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-09-30,c182294b5ef52122b03cc86c8d233a40
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-09-30,c182294b5ef52122b03cc86c8d233a40
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-06-30,c8c53597c58fa2bd65356321c8febff6
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-06-30,c8c53597c58fa2bd65356321c8febff6
8297460,92826C839,V,VISA INC-CLASS A SHARES,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4100000,G0403H108,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4100000,G0403H108,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4100000,G0403H108,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
4335000,G0403H108,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4335000,G0403H108,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
4335000,G0403H108,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
107118784,G6683N103,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
107118784,G6683N103,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
107118784,G6683N103,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
107118784,G6683N103,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
107118784,G6683N103,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
107118784,G6683N103,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10695448,G85158106,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10695448,G85158106,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10695448,G85158106,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
10695448,G85158106,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10695448,G85158106,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
10695448,G85158106,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
2630792,G9001E102,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
2630792,G9001E102,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
2630792,G9001E102,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
2630792,G9001E102,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
2630792,G9001E102,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
2630792,G9001E102,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
1284020,G9001E128,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1284020,G9001E128,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1284020,G9001E128,,,2023-09-30,c182294b5ef52122b03cc86c8d233a40
1284020,G9001E128,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
1284020,G9001E128,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
1284020,G9001E128,,,2023-06-30,c8c53597c58fa2bd65356321c8febff6
